"1","Sega Megadrive","Sega Genesis","Megadrive","Genesis","Super Aladdin Boy"
"2","Sega Master System","Sega Mark III","Sega Mark 3","Master System","SMS"
"3","Nintendo Entertainment System","NES","Famicom","Family Computer","Nintendo Famicom","Nintendo Family Computer"
"4","Super Nintendo Entertainment System","SNES","Super Nintendo","Super Famicom","Nintendo super Famicom"
"6","Capcom Play System","Capcom Play System 1","Capcom Play System I","CPS 1","CPS I"
"7","Capcom Play System 2","Capcom Play System II","CPS 2","CPS II"
"8","Capcom Play System 3","Capcom Play System III","CPS 3","CPS III"
"9","Nintendo Game Boy","Game Boy","Nintendo GB","GB"
"10","Nintendo Game Boy Color","Nintendo GB Color","Game Boy Color","Nintendo GBC","GB Color","GBC"
"11","Nintendo virtualboy","virtualboy","Nintendo vboy","vboy"
"12","Nintendo GameBoy Advance","GameBoy Advance","Nintendo GB Advance","Nintendo GBA","GB Advance","GBA"
"13","Nintendo Game Cube","Game Cube","Nintendo GC","NGC","GC"
"14","Nintendo 64","n64"
"15","Nintendo DS","NDS","DS","Nintendo DSi","NDSi","DSi"
"16","Nintendo WII","WII"
"17","Nintendo 3DS","3DS","2DS"
"18","Nintendo WII-U","WII-U"
"19","Sega Megadrive 32x","Sega Genesis 32x","Sega Mega 32x","Super 32x","Sega 32x","Megadrive 32x","Genesis 32x","32x"
"20","Mega-CD","Sega CD"
"21","Sega Game Gear","Game Gear","Sega GG","GG"
"22","Sega Saturn","Saturn"
"23","Sega Dreamcast","Dreamcast","Sega DC","DC"
"25","SNK Neo-Geo Pocket","Neo-Geo Pocket","SNK NGP","GP"
"26","Atari2600","A2600","2600"
"27","Atari Jaguar","Jaguar"
"28","Atari Lynx","Lynx"
"29","Panasonic 3DO Interactive Multiplayer","Panasonic 3DO","3DO Interactive Multiplayer","3DO"
"30","Nokia N-Gage","N-Gage"
"31","NEC PC Engine","NEC TurboGrafx-16","PC Engine","TurboGrafx-16"
"32","Microsoft XBOX","XBOX"
"33","Microsoft XBOX 360","XBOX 360"
"34","Microsoft XBOX One","XBOX One"
"36","Acorn ATOM","ATOM"
"37","Acorn BBC Microcomputer System","BBC Microcomputer System","Acorn BBC Micro","BBC Micro"
"39","Atari 2600 Supercharger","A2600 Supercharger","2600 Supercharger","Atari 2600 SC","A2600 SC","2600 SC"
"40","Atari 5200","A5200","5200"
"41","Atari 7800","A7800","7800"
"42","Atari ST","Atari STE","Atari 520 ST","Atari 1040 ST","520 ST","1040 ST"
"43","Atari 130XE","130XE","Atari 800XL","800XL","Atari 800XE","800XE","Atari 65XE","65XE","Atari 600XL","600XL","Atari 1200XL","1200XL","Atari XEGS","XEGS","Atari 800","Atari 400","A800","A400"
"44","Bally Astrocade","Astrocade"
"45","Bandai WonderSwan","WonderSwan","Bandai WSwan","WSwan"
"46","Bandai WonderSwan Color","WonderSwan Color","Bandai WSwan Color","WSwan Color"
"47","Cave"
"48","Colecovision"
"49","Daphne"
"50","NEC CoreGrafX","CoreGrafX","PC-Engine DUO","PCE DUO"
"52","Nintendo Game &amp; Watch","Game &amp; Watch","Nintendo Game and Watch","Game and Watch","Nintendo Game&apos;n&apos;Watch","Game&apos;n&apos;Watch","G&amp;W","GW"
"53","Sammy Atomiswave","Atomiswave"
"54","Sega Model 2","Sega Model II","Model 2","Model II"
"55","Sega Model 3","Sega Model III","Model 3","Model III"
"56","Sega Naomi","Naomi"
"57","Sony Playstation","Playstation","Sony PSX","PSX","Sony PS One","PS One"
"58","Sony Playstation 2","Playstation 2","Sony PS2","PS2","Sony Playstation II","Playstation II"
"59","Sony Playstation 3","Playstation 3","Sony PS3","PS3","Sony Playstation III","Playstation III"
"61","Sony Playstation Portable","Sony PSP","Playstation Portable","PSP","Sony PS Portable","PS Portable"
"62","Sony Playstation Vita","Playstation Vita","Sony PS Vita","PS Vita","Sony Vita","Vita"
